date,meal,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2024-09-21,Mittagessen,640.8,103.24,12.39,21.14,1.58,10.13
2024-09-25,Abendessen,351.32,7.26,78.59,0.54,1.22,1.25
2024-09-25,Mittagessen,650.18,47.22,74.76,17.34,2.57,4.74
2024-09-26,Mittagessen,680.94,56.31,63.96,21.48,2.76,5.46
2024-09-27,Mittagessen,439.24,9.07,98.26,0.68,1.53,1.56
2024-09-28,Mittagessen,316.22,6.53,70.74,0.49,1.1,1.13
2024-10-21,Mittagessen,675.35,55.63,63.89,21.2,2.73,5.4
2024-10-24,Mittagessen,680.94,56.31,63.96,21.48,2.76,5.46
2024-10-27,Abendessen,695.98,62.42,76.53,14.48,5.13,2.82
2024-10-28,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-10-28,Mittagessen,696.31,69.29,65.75,16.43,4.36,2.93
2024-10-29,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-10-30,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-10-30,Mittagessen,957.94,65.22,63.26,49.15,0.39,4.97
2024-10-31,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-10-31,Mittagessen,1018.36,69.33,67.25,52.25,0.41,5.28
2024-11-01,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-02,Fruehstueck,815.43,65.95,89.39,22.32,6.39,29.54
2024-11-03,Abendessen,96.92,4.63,5.62,6.05,0.17,1.91
2024-11-03,Mittagessen,548.62,14.6,56.99,28.74,0.0,29.48
2024-11-04,Mittagessen,96.92,4.63,5.62,6.05,0.17,1.91
2024-11-05,Mittagessen,177.69,8.5,10.3,11.09,0.32,3.5
2024-11-07,Mittagessen,696.31,69.29,65.75,16.43,4.36,2.93
2024-11-08,Mittagessen,161.54,7.72,9.36,10.09,0.29,3.18
2024-11-11,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-12,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-13,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-14,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-14,Mittagessen,696.31,69.29,65.75,16.43,4.36,2.93
2024-11-15,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-15,Mittagessen,357.93,55.62,2.12,14.11,0.0,1.83
2024-11-20,Mittagessen,1047.77,71.33,69.19,53.76,0.42,5.44
2024-11-21,Mittagessen,680.94,56.31,63.96,21.48,2.76,5.46
2024-11-25,Mittagessen,696.31,69.29,65.75,16.43,4.36,2.93
2024-11-27,Mittagessen,357.93,55.62,2.12,14.11,0.0,1.83
2024-11-30,Snack,282.06,20.95,39.4,4.49,0.15,2.7
2024-12-01,Abendessen,338.21,25.1,47.27,5.38,0.19,3.24
2024-12-02,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-12-03,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
